[00:35:03] [ERR] Failed to check the state of sock (session id: 262e4e40-a2ed-439f-ba71-7825b1319a2d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:35:13] [ERR] Failed to check the state of sock (session id: 262e4e40-a2ed-439f-ba71-7825b1319a2d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:35:23] [ERR] Failed to check the state of sock (session id: 262e4e40-a2ed-439f-ba71-7825b1319a2d, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:36:24] [ERR] Failed to check the state of sock (session id: 17b74af3-d78b-4587-b372-d4a52f3d2709, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:36:34] [ERR] Failed to check the state of sock (session id: 17b74af3-d78b-4587-b372-d4a52f3d2709, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:36:44] [ERR] Failed to check the state of sock (session id: 17b74af3-d78b-4587-b372-d4a52f3d2709, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:36:54] [ERR] Failed to check the state of sock (session id: 17b74af3-d78b-4587-b372-d4a52f3d2709, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:37:04] [ERR] Failed to check the state of sock (session id: 17b74af3-d78b-4587-b372-d4a52f3d2709, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:38:05] [ERR] Failed to check the state of sock (session id: 0b458b2b-26b7-4764-b63e-9930c0f1e5b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:15] [ERR] Failed to check the state of sock (session id: 0b458b2b-26b7-4764-b63e-9930c0f1e5b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:25] [ERR] Failed to check the state of sock (session id: 0b458b2b-26b7-4764-b63e-9930c0f1e5b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:35] [ERR] Failed to check the state of sock (session id: 0b458b2b-26b7-4764-b63e-9930c0f1e5b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:38:45] [ERR] Failed to check the state of sock (session id: 0b458b2b-26b7-4764-b63e-9930c0f1e5b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:06] [ERR] Failed to check the state of sock (session id: 965d3c1f-dd6e-4e08-b14f-f93af34f345c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:16] [ERR] Failed to check the state of sock (session id: 965d3c1f-dd6e-4e08-b14f-f93af34f345c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:26] [ERR] Failed to check the state of sock (session id: 965d3c1f-dd6e-4e08-b14f-f93af34f345c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:36] [ERR] Failed to check the state of sock (session id: 965d3c1f-dd6e-4e08-b14f-f93af34f345c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:40:46] [ERR] Failed to check the state of sock (session id: 965d3c1f-dd6e-4e08-b14f-f93af34f345c, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:42:07] [ERR] Failed to check the state of sock (session id: 421bd79f-bb63-4ffc-86f4-276c47ef3b11, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:42:17] [ERR] Failed to check the state of sock (session id: 421bd79f-bb63-4ffc-86f4-276c47ef3b11, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:42:27] [ERR] Failed to check the state of sock (session id: 421bd79f-bb63-4ffc-86f4-276c47ef3b11, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:42:37] [ERR] Failed to check the state of sock (session id: 421bd79f-bb63-4ffc-86f4-276c47ef3b11, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:42:47] [ERR] Failed to check the state of sock (session id: 421bd79f-bb63-4ffc-86f4-276c47ef3b11, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:44:09] [ERR] Failed to check the state of sock (session id: 872a5ccf-3dc5-42a7-b195-d8628ded3fd4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:44:19] [ERR] Failed to check the state of sock (session id: 872a5ccf-3dc5-42a7-b195-d8628ded3fd4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:44:29] [ERR] Failed to check the state of sock (session id: 872a5ccf-3dc5-42a7-b195-d8628ded3fd4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:44:39] [ERR] Failed to check the state of sock (session id: 872a5ccf-3dc5-42a7-b195-d8628ded3fd4, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:44:49] [ERR] Failed to check the state of sock (session id: 872a5ccf-3dc5-42a7-b195-d8628ded3fd4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:46:20] [ERR] Failed to check the state of sock (session id: e81642aa-2b7e-4312-86df-77905990c4f4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:46:30] [ERR] Failed to check the state of sock (session id: e81642aa-2b7e-4312-86df-77905990c4f4, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:46:40] [ERR] Failed to check the state of sock (session id: e81642aa-2b7e-4312-86df-77905990c4f4, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:46:50] [ERR] Failed to check the state of sock (session id: e81642aa-2b7e-4312-86df-77905990c4f4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:47:00] [ERR] Failed to check the state of sock (session id: e81642aa-2b7e-4312-86df-77905990c4f4, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:48:01] [ERR] Failed to check the state of sock (session id: e3b2bd06-802e-404f-a1b6-fcb7ef45b697, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:48:11] [ERR] Failed to check the state of sock (session id: e3b2bd06-802e-404f-a1b6-fcb7ef45b697, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:48:21] [ERR] Failed to check the state of sock (session id: e3b2bd06-802e-404f-a1b6-fcb7ef45b697, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:48:31] [ERR] Failed to check the state of sock (session id: e3b2bd06-802e-404f-a1b6-fcb7ef45b697, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:48:41] [ERR] Failed to check the state of sock (session id: e3b2bd06-802e-404f-a1b6-fcb7ef45b697, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:49:32] [ERR] Failed to check the state of sock (session id: 228cc7ed-c1ec-4461-b2e7-adde000dfc7c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:49:42] [ERR] Failed to check the state of sock (session id: 228cc7ed-c1ec-4461-b2e7-adde000dfc7c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:49:52] [ERR] Failed to check the state of sock (session id: 228cc7ed-c1ec-4461-b2e7-adde000dfc7c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:50:02] [ERR] Failed to check the state of sock (session id: 228cc7ed-c1ec-4461-b2e7-adde000dfc7c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:50:12] [ERR] Failed to check the state of sock (session id: 228cc7ed-c1ec-4461-b2e7-adde000dfc7c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:13] [ERR] Failed to check the state of sock (session id: 1c92a225-3353-4739-acd7-801d580bb308, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:23] [ERR] Failed to check the state of sock (session id: 1c92a225-3353-4739-acd7-801d580bb308, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:33] [ERR] Failed to check the state of sock (session id: 1c92a225-3353-4739-acd7-801d580bb308, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:43] [ERR] Failed to check the state of sock (session id: 1c92a225-3353-4739-acd7-801d580bb308, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:53] [ERR] Failed to check the state of sock (session id: 1c92a225-3353-4739-acd7-801d580bb308, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:52:54] [ERR] Failed to check the state of sock (session id: 8a780173-f5ca-40af-b1e7-22dca73e0ee3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:53:04] [ERR] Failed to check the state of sock (session id: 8a780173-f5ca-40af-b1e7-22dca73e0ee3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:53:14] [ERR] Failed to check the state of sock (session id: 8a780173-f5ca-40af-b1e7-22dca73e0ee3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:53:24] [ERR] Failed to check the state of sock (session id: 8a780173-f5ca-40af-b1e7-22dca73e0ee3, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:53:34] [ERR] Failed to check the state of sock (session id: 8a780173-f5ca-40af-b1e7-22dca73e0ee3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:54:35] [ERR] Failed to check the state of sock (session id: 6d4893d1-a920-40f3-8df6-d62da3a2c260, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
