[00:49:46] [ERR] Failed to check the state of sock (session id: e85219ae-d548-4519-93a4-d48597c8bac9, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:49:56] [ERR] Failed to check the state of sock (session id: e85219ae-d548-4519-93a4-d48597c8bac9, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:50:06] [ERR] Failed to check the state of sock (session id: e85219ae-d548-4519-93a4-d48597c8bac9, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:50:16] [ERR] Failed to check the state of sock (session id: e85219ae-d548-4519-93a4-d48597c8bac9, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:51:17] [ERR] Failed to check the state of sock (session id: 8acb04fd-e1b0-4d9e-bf5d-41f48ac66bad, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:27] [ERR] Failed to check the state of sock (session id: 8acb04fd-e1b0-4d9e-bf5d-41f48ac66bad, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:37] [ERR] Failed to check the state of sock (session id: 8acb04fd-e1b0-4d9e-bf5d-41f48ac66bad, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:51:47] [ERR] Failed to check the state of sock (session id: 8acb04fd-e1b0-4d9e-bf5d-41f48ac66bad, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:51:57] [ERR] Failed to check the state of sock (session id: 8acb04fd-e1b0-4d9e-bf5d-41f48ac66bad, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:53:18] [ERR] Failed to check the state of sock (session id: 9f79379e-e7d5-4bec-90b8-2c2958e67935, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:53:28] [ERR] Failed to check the state of sock (session id: 9f79379e-e7d5-4bec-90b8-2c2958e67935, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:53:38] [ERR] Failed to check the state of sock (session id: 9f79379e-e7d5-4bec-90b8-2c2958e67935, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:53:48] [ERR] Failed to check the state of sock (session id: 9f79379e-e7d5-4bec-90b8-2c2958e67935, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:53:58] [ERR] Failed to check the state of sock (session id: 9f79379e-e7d5-4bec-90b8-2c2958e67935, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:55:19] [ERR] Failed to check the state of sock (session id: 2cebc0a2-9ede-42d7-93a6-3082234ca19f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:55:29] [ERR] Failed to check the state of sock (session id: 2cebc0a2-9ede-42d7-93a6-3082234ca19f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:55:39] [ERR] Failed to check the state of sock (session id: 2cebc0a2-9ede-42d7-93a6-3082234ca19f, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
